case_order,channel,category
1,ahrileth,Just Chatting
2,alinity,Just Chatting
2,alinity,"Pokemon: Let's Go, Pikachu!/Eevee!"
2,alinity,Red Dead Redemption 2
3,allkeyshop_tv,Just Chatting
4,amouranth,ASMR
4,amouranth,Just Chatting
4,amouranth,Just Dance 2019
4,amouranth,"Pokemon: Let's Go, Pikachu!/Eevee!"
4,amouranth,Sports & Fitness
5,angelskimi,Just Chatting
5,angelskimi,League of Legends
6,animeilluminati,Dragon Ball FighterZ
6,animeilluminati,Soulcalibur VI
6,animeilluminati,Tekken 7
7,annemunition,Just Chatting
7,annemunition,Tom Clancy's Rainbow Six: Siege
8,aragostv,Hearthstone
9,asmongold,World of Warcraft
10,assistmedoom,Darksiders
11,atlantis_mitr0,Fortnite
12,attach,Call of Duty: Black Ops 4
13,avew1004,Hearthstone
14,ayytrae,Just Chatting
15,beaulo,Tom Clancy's Rainbow Six: Siege
16,beemes,Just Chatting
17,bengineering,"Pokemon: Let's Go, Pikachu!/Eevee!"
18,bobross,Art
19,boogie2988,Just Chatting
19,boogie2988,"Pokemon: Let's Go, Pikachu!/Eevee!"
20,braintm,Slay the Spire
21,bruisedbygod,Eternal
22,btssmash,Super Smash Bros. Melee
23,bungie,Destiny 2
24,bustaj,Hearthstone
25,casino_johni,Casino
26,casinohotkey,Casino
27,ceecee_lia,Hearthstone
28,chapo,Fortnite
28,chapo,Smite
29,chefbrandonallen,Food & Drink
30,chemicaldragoon,Fortnite
30,chemicaldragoon,Just Chatting
30,chemicaldragoon,MapleStory 2
31,cjayride,Just Chatting
32,clintstevens,"Pokemon: Let's Go, Pikachu!/Eevee!"
33,comedyrussell,Just Chatting
34,copykat_,ASMR
35,corobizar,League of Legends
36,crayator,Fortnite
37,creelagerstrom36,Casino
38,criticalrole,Talk Shows & Podcasts
39,cuppcaake,Overwatch
40,dakotaz,Fortnite
41,danicarockwood,Just Chatting
42,dantastic_tv,Super Mario Maker
43,danteh,Overwatch
44,darksydephil,Talk Shows & Podcasts
45,davidchau,Fortnite
46,dclara1,Battlefield V
47,denissnidertv,Just Chatting
48,destiny,Call of Duty: Black Ops 4
48,destiny,Frostpunk
48,destiny,Just Chatting
48,destiny,Minecraft
48,destiny,Talk Shows & Podcasts
49,dev1,Counter-Strike: Global Offensive
49,dev1,Marbles On Stream
49,dev1,marble
50,disguisedtoast,Dungeons & Dragons
50,disguisedtoast,Just Chatting
50,disguisedtoast,"Pokemon: Let's Go, Pikachu!/Eevee!"
51,dkane,Travel & Outdoors
52,domingo,Just Chatting
53,donutoperator,Just Chatting
54,draskyl,Dota 2
55,drdave_pt,Fortnite
56,dutchsinseofficial,Science & Technology
57,dyrus,Heroes of Hammerwatch
57,dyrus,Just Chatting
57,dyrus,League of Legends
57,dyrus,Tekken 7
57,dyrus,Thief Simulator
57,dyrus,Town of Salem
57,dyrus,Warcraft III: The Frozen Throne
58,edisonparklive,Just Chatting
59,educatedeartw,Just Chatting
60,eevisu,Just Chatting
61,ericbangi,Hearthstone
62,erobb221,Just Chatting
63,esfandtv,Grand Theft Auto V
63,esfandtv,Just Chatting
63,esfandtv,World of Warcraft
64,esportsarena,Fortnite
65,fatboyslim1993,Just Chatting
66,fedmyster,Just Chatting
67,firstinspires,Science & Technology
68,food,Food & Drink
69,forgiving,Overwatch
70,forsen,Artifact
70,forsen,Granny
70,forsen,Just Chatting
70,forsen,Protocol
70,forsen,The Elder Scrolls V: Skyrim
71,frankkaster,Just Chatting
71,frankkaster,Travel & Outdoors
72,fuslie,Just Chatting
72,fuslie,"Pokemon: Let's Go, Pikachu!/Eevee!"
73,futwiz_jamie,FIFA 19
74,gameattackteam,Just Chatting
75,geekandsundry,"Pokemon: Let's Go, Pikachu!/Eevee!"
75,geekandsundry,Super Mario Party
75,geekandsundry,Talk Shows & Podcasts
76,geisha,Just Chatting
77,generalelost,Food & Drink
78,gennabain,Talk Shows & Podcasts
79,giantwaffle,Farming Simulator 19
79,giantwaffle,Golf It!
79,giantwaffle,Hand Simulator
79,giantwaffle,Just Chatting
79,giantwaffle,Magic: The Gathering
79,giantwaffle,Path of Exile
79,giantwaffle,Rise to Ruins
79,giantwaffle,Rocket League
79,giantwaffle,Tricky Towers
80,goespor,League of Legends
81,grimmmz,Battlefield V
81,grimmmz,"Pokemon: Let's Go, Pikachu!/Eevee!"
82,gripex90,League of Legends
83,guijenpaygrip93,Casino
84,halieatisuto,Just Chatting
85,heroesoffitness,Food & Drink
86,hieggroll,Hearthstone
87,hitch,Just Chatting
88,hurracain,Heroes of the Storm
88,hurracain,League of Legends
89,hyperrpg,Just Chatting
89,hyperrpg,Magic the Gathering
89,hyperrpg,Magic: The Gathering
90,hyubsama,Just Chatting
91,iam_chappie,Call of Duty: Black Ops 4
92,igumdrop,Just Chatting
93,indiefoxx,Just Chatting
94,j9superfast,Counter-Strike: Global Offensive
94,j9superfast,PLAYERUNKNOWN'S BATTLEGROUNDS
95,jacksepticeye,Fortnight
95,jacksepticeye,Fortnite
95,jacksepticeye,Talk Shows & Podcasts
95,jacksepticeye,The Jackbox Party Pack 5
96,jae_benny,Food & Drink
