turn,sender,addressed,ts_ms
1,foodog98,rdulive,1542722397510
2,carldrog0,rdulive,1542722405011
3,yenxa,,1542722420884
4,ijustneedatwitchaccountxd,foodog98,1542722428332
5,alialexalia,,1542722511477
6,donkeydeuce,,1542722755624
7,krystall2,,1542722764038
8,theivasyl,,1542722786276
9,lapinas2229,,1542722819611
10,xolphor,,1542722955120
11,theogritzi,,1542722961458
12,mmelancholy,,1542722980671
13,gedehamster,,1542723201643
14,theivasyl,,1542723225064
15,hamishmc25,,1542723227819
16,yenxa,,1542723232123
17,nazzahs,,1542723241457
18,ballou,,1542723286943
19,everything_is_relative,,1542723306159
20,alialexalia,,1542723316090
21,yenxa,,1542723317747
22,siriussqt,,1542723323417
23,hs_dyer,rdulive,1542723325577
24,yobimapi,,1542723326041
25,pepye,,1542723338590
26,jays1622,,1542723378308
27,yenxa,,1542723414614
28,calmon_,,1542723517280
29,carldrog0,,1542723527193
30,nil_s_dias,,1542723565056
31,jcraiden,chugachuuga,1542723620346
32,oskurok,,1542723622307
33,royal_hobo,,1542723634832
34,mordras,,1542723658025
35,stoki1,,1542723676805
36,oskurok,,1542723681424
37,portable_head,,1542723685007
38,jcraiden,calmon_,1542723712291
39,luckynumberz,,1542723719668
40,chugachuuga,,1542723753607
41,themacshane,,1542723765420
42,west4u2,,1542723808239
43,luckynumberz,rdulive,1542723973415
44,themightypcxz,,1542724085288
45,yobimapi,peaceling8,1542724104766
46,notshift,,1542724232587
47,boldric1,mal3ma,1542724236743
48,peaceling8,,1542724255281
49,mmelancholy,,1542724335552
50,themacshane,weebaygame,1542724351636
51,univaccine,,1542724381779
52,yobimapi,,1542724383362
53,deprinse,,1542724386479
54,jcraiden,,1542724390429
55,bravevegan,,1542724395357
56,ultima_21,,1542724417007
57,streamelements,,1542724417633
58,deprinse,,1542724466954
59,ajax2854,,1542724495244
60,mmelancholy,,1542724521421
61,inspiredbygreen,,1542724533032
62,o_tis,,1542724571726
63,twitch_viewerer,,1542724647743
64,yobimapi,rdulive,1542724701290
65,deprinse,,1542724769989
66,euryon,,1542724770234
67,paparoodaz1234,,1542724783087
68,fingerflickinggood,rdulive,1542724795139
69,lollolzz1996,,1542724840611
70,greaterspirit,,1542724887711
71,liusslo,ajax2854,1542724889173
72,streamelements,,1542724909743
73,mmelancholy,,1542724928170
74,johnfromacounting,,1542724950797
75,heeiyyoo,,1542724965392
76,komatozko,yobimapi,1542724974805
77,yobimapi,komatozko,1542724981509
78,ahmetdrsy,,1542724987358
79,framesjanc0,,1542725001702
80,ilyu575,rdulive,1542725007784
81,liusslo,univaccine,1542725010575
82,univaccine,ajax2854,1542725037968
83,oskurok,,1542725046104
84,daonlytimmeh,,1542725065909
85,univaccine,portable_head,1542725168155
86,carldrog0,,1542725192480
87,univaccine,,1542725292207
88,mrlexgr,,1542725296163
89,dumek,rdulive,1542725451807
90,liusslo,,1542725455869
91,yaku97,,1542725471521
92,ultima_21,,1542725485820
93,mmelancholy,,1542725493323
94,liusslo,,1542725503851
95,qmillion_,,1542725532023
96,daonlytimmeh,,1542725536394
97,elfandorhs,,1542725548011
98,mrlexgr,,1542725572315
99,daonlytimmeh,,1542725620698
100,fingerflickinggood,elfandorhs,1542725639197
101,streamelements,,1542725662887
102,johnfromacounting,blitzkrieg103,1542725667044
103,blitzkrieg103,johnfromacounting,1542725701348
104,guitapt,,1542725759085
105,derfahnder,,1542725916961
106,jcraiden,,1542725951229
107,jcraiden,,1542725979975
108,jcraiden,,1542726016834
109,dug1337,,1542726035686
110,liusslo,,1542726147467
111,hs_dyer,rdulive,1542726159537
112,raamara,,1542726165544
113,derfahnder,,1542726166013
114,enieo,,1542726173668
115,hs_dyer,rdulive,1542726230533
116,mal3ma,,1542726263292
117,dug1337,,1542726287858
118,west4u2,,1542726347372
119,yobimapi,voidscope,1542726401695
120,fingerflickinggood,,1542726584370
121,stommpedk,rdulive,1542726622797
122,halfblackops,,1542726632862
123,nein9nine,fr3quenttv,1542726691535
124,west4u2,,1542726709737
125,hsnexo,,1542726742291
126,voidscope,hsnexo,1542726775558
127,jcraiden,liusslo,1542726832263
128,dumek,fr3quenttv,1542726896607
129,hsheki,,1542726942108
130,jcraiden,,1542726993849
131,m_ronin,,1542727027154
132,jcraiden,,1542727079543
133,fr3quenttv,,1542727084788
134,hsheki,,1542727317988
135,venrai,matthieist,1542727433464
136,royal_hobo,,1542727579472
137,fredicul0us,,1542727605354
138,goldenes_zippo,,1542727692650
139,greccu,,1542727695075
140,thewindexwipes,,1542727755230
141,arkhamhs,,1542727793416
142,enieo,,1542727978284
143,shazzrah19,,1542728182846
144,alerick_wong,,1542728186096
145,w0lur,rdulive,1542728224220
146,farvald,,1542728240405
147,woohooalex,,1542728360378
148,docnasty,,1542728470987
149,cmaur,,1542728479585
150,stoki1,,1542728518782
151,mrlexgr,,1542728520643
152,biscuit717z,,1542728599759
153,sahrgeant,,1542728764991
154,arkhamhs,,1542728790162
155,shazzrah19,,1542728794580
156,oddling1977,,1542728891153
157,sinfulgamernz,,1542729072819
158,5exisme,,1542729147769
159,jcraiden,,1542729268632
160,sinfulgamernz,,1542729298573
161,petlino,,1542729300502
162,petlino,,1542729395418
163,hsheki,,1542729412517
164,hrodricpt,,1542729417154
165,mrlexgr,,1542729597810
166,nimbexxx,,1542729632644
167,shadowymisstep,,1542729698676
168,yenxa,,1542729757034
169,gerrardlol,,1542729762766
170,gerrardlol,,1542729847264
171,shadowymisstep,,1542729848581
172,roho000,,1542729884402
173,yenxa,,1542729900130
174,xmassacre,,1542729941888
175,mrawki,,1542729945757
176,shadowymisstep,,1542729982726
177,massud0,,1542730019785
178,sinfulgamernz,,1542730075310
179,afetalmistake,,1542730087472
180,shazzrah19,,1542730165846
181,physcx,,1542730203995
182,dumek,,1542730207339
183,yobimapi,,1542730290049
184,mmelancholy,,1542730293946
185,grumpykitten69,,1542730376433
186,grumpykitten69,,1542730479321
187,dweight888,,1542730548002
188,west4u2,,1542730607429
189,captainsluba,,1542731050870
190,olipolipo,rdulive,1542731106762
191,west4u2,,1542731130668
192,nabiee,,1542731233137
193,ijustneedatwitchaccountxd,west4u2,1542731265131
194,darkgoomy,,1542731368534
195,piupiuu_,,1542731426581
196,jigsaw_doto,,1542731429012
197,piupiuu_,,1542731438318
198,chosen91,,1542731504515
199,yobimapi,piupiuu_,1542731598406
200,piupiuu_,yobimapi,1542731666594
201,dweight888,,1542731757128
202,gswblew321lead,,1542731792369
203,yobimapi,yenxa,1542731815631
204,twitch_viewerer,,1542731884530
205,yobimapi,,1542731925019
206,akulatraxass,,1542731999166
207,artorix,rdulive,1542732104194
208,bercony,rdulive,1542732119818
209,enieo,,1542732132476
210,leeeroyjenkinhs,,1542732224699
211,shootingstarhs,kreestijan,1542732262259
212,bassie1rl,,1542732271037
213,kreestijan,,1542732284939
214,shootingstarhs,kreestijan,1542732320109
215,antiliani,rdulive,1542732448903
216,skeptimistccg,bassie1rl,1542732558667
217,silentrebel217,,1542732622342
218,zigg1985,,1542732632500
219,rtheeraser,,1542732681054
220,silentrebel217,,1542732728976
221,yenxa,,1542732738266
222,rubadub730,,1542732763247
223,nolimitof300,,1542732818572
224,piupiuu_,,1542732871722
225,larkin_,,1542732891955
226,billbobby21,,1542732960563
227,shootingstarhs,,1542732970739
228,dweight888,,1542732980718
229,ashof1,,1542732990166
230,yobimapi,,1542733306712
231,cagamelos,,1542733363976
232,bda01,,1542733393308
233,twt_hs,,1542733488310
234,prodyhs,,1542733488561
235,jus77om,,1542733638357
236,xpehbam1337,,1542733647935
237,badyacs,,1542733660340
238,pab0089,,1542733839089
239,witselhs,,1542733864372
240,badyacs,,1542733869141
241,f4ll007,,1542733901090
242,crazymas0n,,1542733913005
243,jrbdotter,rdulive,1542733958387
244,skeptimistccg,5exisme,1542734012143
245,baldeaglexx,,1542734056560
246,piupiuu_,,1542734075776
247,crazymas0n,,1542734190999
248,antiliani,,1542734234806
249,meblevox,,1542734270326
250,bigsithlord,rdulive,1542734379425
251,apeinsupershape,,1542734449493
252,anonymousdalek,,1542734497573
253,apeinsupershape,,1542734601207
254,twt_hs,,1542734792917
255,piupiuu_,,1542734799201
256,banditcharlie,,1542734802058
