channel,sender,words
sodapoppin,madzee,0
xqcow,prometheanow,68
forsen,spectre155,1
sodapoppin,itsjer,1
xqcow,laserfruit,33
forsen,mojito_is_amazing,4
sodapoppin,planetjuke420,1
giantwaffle,akswitch,2
xqcow,unhuman,1
sodapoppin,azurify,1
sodapoppin,greyface127,1
giantwaffle,challenger2uk,1
giantwaffle,knifeparteh,3
giantwaffle,alovelyphoenix,4
sodapoppin,textue,1
sodapoppin,0mixter0,1
sodapoppin,f0l3y,2
sodapoppin,ambahh,1
sodapoppin,hellarussian,5
xqcow,stolesomelemons,36
sodapoppin,electronicblade,1
xqcow,spyroyo,1
sodapoppin,chaotic_yordle,1
sodapoppin,iwillpotato,1
xqcow,sebfoulger,1
xqcow,pizzadude69420nomemes,3
forsen,ithoran,1
sodapoppin,tapdancingninja,7
sodapoppin,ihiru_,2
xqcow,thisissportscenter,1
sodapoppin,chaos_infern0,2
sodapoppin,rheno142,1
sodapoppin,its_mech,4
giantwaffle,saintsrob,8
sodapoppin,lmplicate,1
xqcow,0__l,1
sodapoppin,zagax,2
sodapoppin,genki0fun0time,0
xqcow,xilefyt,6
sodapoppin,andypma,1
sodapoppin,meyern3,1
forsen,thepiter333,1
forsen,kirgaara,1
sodapoppin,omegaduckerz,1
xqcow,z3_fusion,5
sodapoppin,trillogy,1
sodapoppin,derekthehobo,3
forsen,spectre155,1
sodapoppin,kimjongunsub,1
sodapoppin,martin3_3,1
sodapoppin,meyern3,2
bobross,jumpyfishv2,13
xqcow,androidlewishere,9
forsen,neonbacon_,1
sodapoppin,jimasly,1
sodapoppin,kwigleet,1
xqcow,iamhussien,12
sodapoppin,d0noharm,8
sodapoppin,luffysupersaiyajin,1
giantwaffle,snowmansdream,1
forsen,cornholio_,3
sodapoppin,bradytheboss2000,1
sodapoppin,lx_zander,2
sodapoppin,solutoooo,1
forsen,dvh_,3
sodapoppin,wandingisfun,1
forsen,kappa__crunch,12
sodapoppin,edve,12
sodapoppin,youhavetomorrowbig,1
xqcow,wrathprayer,1
xqcow,powsen,1
sodapoppin,verticalvortex,3
sodapoppin,lidl_disvstxr666,5
sodapoppin,rob0___,9
xqcow,acroz,1
sodapoppin,ariiescs,3
xqcow,hunterwolf_rk,1
xqcow,mcsaltyboi,1
sodapoppin,kronazen,2
xqcow,glveme1second,3
sodapoppin,bradytheboss2000,5
bobross,kristofficer,2
sodapoppin,fgtmania,22
sodapoppin,senpaiiyoshi,2
xqcow,theoryow,1
xqcow,trihard_from_myanmar,1
sodapoppin,muppetnicke,1
xqcow,iambadatgamesow,4
xqcow,theoryow,1
sodapoppin,roochling,1
sodapoppin,tomyequest,8
sodapoppin,mrquick92,5
sodapoppin,thingkin,50
bobross,iwashungrysoi,4
xqcow,ca1m___,3
sodapoppin,kendalljennersx,2
sodapoppin,loczuk2001,1
sodapoppin,trashdingo0,1
xqcow,black_night410,1
xqcow,logicalforce,1
sodapoppin,trashdingo0,1
sodapoppin,clambrewery,1
xqcow,ver1fied,1
xqcow,derekthehobo,1
sodapoppin,cksoldier43,1
xqcow,reckz704,1
bobross,mikestirner,3
xqcow,caesarsaladwithranch,1
sodapoppin,liqouridge2,1
xqcow,splootingcorgi,4
sodapoppin,zotur,1
sodapoppin,maiediction,1
giantwaffle,thirdeyezee,3
sodapoppin,mrtjeuke,2
xqcow,fracture_ow,1
xqcow,giinko,5
xqcow,deadsh0t26,2
xqcow,apuff1337,4
xqcow,skalpine,4
giantwaffle,tamerlan2970,2
xqcow,eydieser,3
xqcow,make_some_noize,3
xqcow,anathema___,1
sodapoppin,almosttt,10
sodapoppin,misterpatrik,4
xqcow,solongchoppa,1
sodapoppin,opardo,2
sodapoppin,holeefaak,2
sodapoppin,jackfr0styz,2
xqcow,flgtimaxx,1
xqcow,verion,1
sodapoppin,kemplar,1
giantwaffle,totally_turkey,1
sodapoppin,ivox8k,3
perrkz,gatyesz,4
perrkz,metaltunder,1
perrkz,tolbi_i,1
perrkz,uber_rainbow,0
perrkz,nitrox0,2
perrkz,robicoco,1
perrkz,catchingyouirl,1
perrkz,nitrox0,4
perrkz,kingroders,2
perrkz,metaltunder,1
perrkz,banned_for_thinking_it,1
perrkz,tolbi_i,1
perrkz,geddn,1
perrkz,koalapissingonchuck,2
perrkz,nakatzou,10
perrkz,prothro,6
perrkz,invincible_bard,1
perrkz,anekrot235,1
perrkz,catchingyouirl,5
perrkz,esverter,1
perrkz,zathorius89,1
perrkz,ayatoo33,2
perrkz,khirsah6,2
perrkz,specialducklin,0
perrkz,buliarz,5
xqcow,crankycal_,1
perrkz,soulsneeded,6
perrkz,invincible_bard,1
perrkz,chozinet,1
sodapoppin,supa_kicka_zulul,1
sodapoppin,mansamusav,15
sodapoppin,abaeterno,1
sodapoppin,boazf,1
perrkz,fhulgrim_,2
perrkz,kocunar1960,7
perrkz,kingroders,1
perrkz,thatlatvianguy,2
sodapoppin,ifartedecksdee,1
sodapoppin,forwizzel,1
perrkz,hypelastika,2
perrkz,kemis,3
perrkz,buliarz,1
perrkz,prothro,1
sodapoppin,hubschraubbaer,4
perrkz,ld392,1
perrkz,metaltunder,1
perrkz,soogosuyi,1
perrkz,azureee7,1
perrkz,banned_for_thinking_it,1
