id,channel,coder_a,coder_b
316,domingo,0,0
1146,zanoxvii,0,1
1160,kendinemuzisyen,0,1
1288,xqcow,1,0
1546,kendinemuzisyen,0,1
1718,domingo,0,0
1797,zanoxvii,0,0
1906,kendinemuzisyen,0,1
1942,zanoxvii,0,1
2020,zanoxvii,0,1
2042,zanoxvii,0,1
2070,casino_johni,0,0
2086,domingo,0,0
2182,casino_johni,0,0
2194,zanoxvii,0,1
2207,domingo,0,0
2277,domingo,0,0
2283,btssmash,0,0
2505,zanoxvii,0,0
2683,sodapoppin,0,0
2709,casino_johni,0,0
2773,casino_johni,0,0
2798,rajjpatel,1,1
3131,kendinemuzisyen,0,0
3317,zanoxvii,0,0
3442,casino_johni,0,0
3723,domingo,0,0
4023,kendinemuzisyen,0,0
4089,casino_johni,0,0
4182,xqcow,0,0
4217,kendinemuzisyen,0,0
4242,kendinemuzisyen,0,0
4284,domingo,0,0
4514,zanoxvii,0,0
4604,frankkaster,0,0
4619,kendinemuzisyen,0,0
4777,kendinemuzisyen,0,0
4980,zanoxvii,0,1
5084,kendinemuzisyen,0,0
5556,saddummy,0,0
5916,kendinemuzisyen,0,0
5955,kendinemuzisyen,0,0
5981,shoutfactorytv,0,0
6011,frankkaster,0,0
6167,saddummy,0,0
6207,saddummy,0,0
6289,saddummy,0,0
6401,saddummy,0,0
6597,kendinemuzisyen,0,0
6709,casino_johni,0,0
6726,zanoxvii,0,0
6837,saddummy,0,0
6931,btssmash,0,0
7148,saddummy,0,0
7174,kendinemuzisyen,0,0
7341,kendinemuzisyen,0,0
7686,casino_johni,0,0
7715,saddummy,0,0
7856,kendinemuzisyen,0,0
8037,zanoxvii,0,1
8064,frankkaster,0,0
8276,zanoxvii,0,0
8334,saddummy,0,0
8625,kendinemuzisyen,0,0
8834,xqcow,1,0
8850,domingo,0,0
9026,domingo,0,0
9376,zanoxvii,0,1
9400,zanoxvii,0,0
9442,kendinemuzisyen,0,0
9514,casino_johni,0,0
9675,xari,0,1
9819,rajjpatel,0,0
9837,zanoxvii,0,1
9919,saddummy,0,0
10003,xari,0,0
10100,zanoxvii,0,0
10173,saddummy,0,0
10462,casino_johni,0,0
10672,xari,1,0
10711,saddummy,0,0
11192,domingo,0,0
11199,saddummy,0,0
11331,kendinemuzisyen,0,0
11342,saddummy,0,0
11378,frankkaster,0,1
11587,kendinemuzisyen,0,0
11729,zanoxvii,0,1
11901,shoutfactorytv,0,0
11981,xari,0,0
12032,sodapoppin,0,0
12038,xari,0,0
12041,zanoxvii,0,0
12196,sodapoppin,0,0
12299,xari,0,1
12452,xari,0,0
12474,casino_johni,0,0
12647,saddummy,0,0
12732,saddummy,0,0
12820,frankkaster,1,0
