sender,messages,mean_words,pos_rate,neg_rate,question_pct,shouting_pct,nongame_pct,channels
ccckomunistzccc,15,2.53,0.0,0.0,0.0,86.7,100.0,1
karambit54,6,4,0.0,0.0,0.0,66.7,100.0,2
gaplan,9,3.11,0.0,0.0,0.0,66.7,100.0,1
ishadow_tv,12,3.75,0.0,0.0,0.0,66.7,0.0,1
1niebian,7,0,0.0,0.0,0.0,0.0,0.0,1
nightbot,1773,13.62,3.93,3.48,8.4,6.1,27.2,92
hebicr,8,0,0.0,0.0,0.0,12.5,0.0,1
executionerexecutedddv5,21,3.19,0.0,14.93,0.0,28.6,100.0,1
salee113,8,0,0.0,0.0,0.0,0.0,0.0,1
maskar_tv,59,2.64,0.0,0.0,0.0,6.8,100.0,1
mia5555,6,0,0.0,0.0,66.7,0.0,0.0,1
klodianbici,27,3.48,0.0,0.0,0.0,48.1,0.0,1
thulcnn,7,2.14,0.0,0.0,0.0,57.1,100.0,1
hacoooo,9,0,0.0,0.0,11.1,0.0,100.0,1
7thmbektes68,27,2.93,0.0,0.0,3.7,22.2,100.0,1
gto511,6,0,0.0,0.0,0.0,0.0,100.0,1
philli5151,71,0.03,0.0,0.0,2.8,0.0,100.0,1
kazim0760,19,4.63,0.0,0.0,0.0,15.8,100.0,1
vshakaux,5,0,0.0,0.0,40.0,0.0,0.0,1
dofu95,10,0,0.0,0.0,50.0,0.0,0.0,1
test_0012,14,0,0.0,0.0,14.3,0.0,100.0,1
tpl_zdani,7,1.14,0.0,0.0,14.3,71.4,100.0,1
cideliemre37,16,2.31,0.0,0.0,0.0,0.0,100.0,1
fab3r00,11,8.82,0.0,0.0,0.0,63.6,0.0,1
serkancodar,6,8.33,0.0,0.0,0.0,66.7,100.0,1
jojon11,5,0,0.0,0.0,80.0,0.0,0.0,1
iltommy3495,13,11.08,0.0,0.0,0.0,46.2,0.0,1
yeongeo,22,0.18,0.0,0.0,4.5,0.0,100.0,1
wiader5,8,0,0.0,0.0,0.0,0.0,0.0,1
s9hh6s,6,0,0.0,0.0,50.0,0.0,100.0,1
dilavers,7,2.57,0.0,0.0,0.0,0.0,100.0,1
xsimic,22,19.18,0.0,0.0,0.0,31.8,0.0,1
vonghorst,5,6.2,32.26,32.26,0.0,0.0,0.0,1
gnobot,6,3.83,0.0,0.0,16.7,16.7,100.0,1
gooodlevel,5,3.2,0.0,0.0,20.0,40.0,100.0,1
stebonf,5,11.6,0.0,0.0,0.0,40.0,0.0,1
tobze,8,0,0.0,0.0,0.0,0.0,0.0,1
whgns7,5,0,0.0,0.0,0.0,0.0,100.0,1
brutus__,5,7.8,0.0,0.0,20.0,0.0,100.0,1
blackdani,11,15.27,0.0,0.0,0.0,18.2,0.0,1
devonshire98,7,0,0.0,0.0,14.3,14.3,0.0,1
chungja1,10,0,0.0,0.0,0.0,0.0,100.0,1
kimkim1017,31,0,0.0,0.0,9.7,0.0,100.0,1
