channel,direction,before_n,after_n,d_words,d_q,d_shout
sodapoppin,out,49,51,-2.3001200480192074,5.802320928371348,-1.2004801920768315
sodapoppin,out,30,17,-1.774509803921569,2.5490196078431375,0.19607843137255188
forsen,out,29,21,-4.512315270935961,-10.344827586206897,-10.180623973727421
forsen,out,16,21,-1.369047619047619,0.0,-2.678571428571427
forsen,out,24,50,-1.5983333333333332,2.0,0.5
forsen,out,22,19,-2.588516746411483,0.7177033492822966,-3.3492822966507134
forsen,out,36,22,1.406565656565657,4.545454545454546,19.444444444444443
giantwaffle,into,15,20,-0.9500000000000002,-3.333333333333334,-3.333333333333334
chemicaldragoon,into,17,26,-2.024886877828054,3.8461538461538463,7.6923076923076925
chemicaldragoon,out,20,25,-1.83,8.0,-1.0
leonblack,into,21,24,-1.7321428571428568,3.571428571428572,-5.357142857142857
leonblack,out,19,21,-0.7092731829573937,-5.764411027568923,4.260651629072681
skiddlerrs,into,75,91,-0.4619780219780223,-3.4432234432234434,-3.4432234432234434
skiddlerrs,out,77,84,-0.5822510822510827,-0.9740259740259756,-4.761904761904763
uberhaxornova,out,89,25,1.2408988764044944,-6.741573033707865,-3.5955056179775298
uberhaxornova,into,40,40,1.4000000000000004,-5.0,-12.5
uberhaxornova,out,37,53,0.02804691483936761,-6.22131565527792,-6.782253952065274
